X,time,showId,movieId,date,theaterId,price,auditorium
63642,6:00p,497986454,239402,2025-05-16,AAIYQ,14.00,4
63643,8:45p,497986453,239402,2025-05-16,AAIYQ,14.00,4
63644,5:45p,499276133,237177,2025-05-16,AAIYQ,14.00,2
63645,8:45p,499276134,237177,2025-05-16,AAIYQ,14.00,2
63646,5:45p,499276131,239552,2025-05-16,AAIYQ,14.00,3
63647,8:45p,499276132,239552,2025-05-16,AAIYQ,14.00,3
63648,5:30p,499290523,237956,2025-05-16,AAIYQ,14.00,1
63649,8:45p,499290524,237956,2025-05-16,AAIYQ,14.00,1
63650,4:30p,498219003,239402,2025-05-16,AAFYO, 7.50,1
63651,7:30p,498219004,239402,2025-05-16,AAFYO, 9.50,1
63652,4:10p,499297462,237177,2025-05-16,AAFYO, 7.50,3
63653,7:10p,499297463,237177,2025-05-16,AAFYO, 9.50,3
63654,4:00p,499297458,239552,2025-05-16,AAFYO, 7.50,2
63655,7:00p,499297459,239552,2025-05-16,AAFYO, 9.50,2
63656,3:50p,499297460,237956,2025-05-16,AAFYO, 7.50,5
63657,6:50p,499297461,237956,2025-05-16,AAFYO, 9.50,5
63658,4:20p,499297456,235561,2025-05-16,AAFYO, 7.50,6
63659,7:20p,499297457,235561,2025-05-16,AAFYO, 9.50,6
63660,4:40p,499297454,216995,2025-05-16,AAFYO, 7.50,4
63661,7:40p,499297455,216995,2025-05-16,AAFYO, 9.50,4
63662,1:15p,499293873,239940,2025-05-16,AAIEX,11.50,3
63663,6:45p,499293874,239940,2025-05-16,AAIEX,11.50,3
63664,4:00p,499293875,239071,2025-05-16,AAIEX,11.50,3
63665,12:45p,499293869,238628,2025-05-16,AAIEX,11.50,1
63666,2:40p,499293870,238628,2025-05-16,AAIEX,11.50,1
63667,4:35p,499293871,238628,2025-05-16,AAIEX,11.50,1
63668,6:30p,499293872,238628,2025-05-16,AAIEX,11.50,1
63669,1:00p,499293876,237845,2025-05-16,AAIEX,11.50,2
63670,3:00p,499293877,237845,2025-05-16,AAIEX,11.50,2
63671,5:00p,499293878,237845,2025-05-16,AAIEX,11.50,2
63672,7:00p,499293879,237845,2025-05-16,AAIEX,11.50,2
63673,2:15p,499364717,239402,2025-05-16,AAXJB, 8.75,9
63674,4:45p,499364718,239402,2025-05-16,AAXJB, 8.75,9
63675,7:20p,499364719,239402,2025-05-16,AAXJB,10.75,9
63676,8:00p,499364720,239402,2025-05-16,AAXJB,10.75,10
63677,2:15p,499364732,240014,2025-05-16,AAXJB, 8.75,2
63678,4:20p,499335749,240014,2025-05-16,AAXJB, 8.75,1
63679,9:00p,499364733,240014,2025-05-16,AAXJB,10.75,5
63680,2:15p,499364728,235432,2025-05-16,AAXJB, 8.75,5
63681,4:30p,499364729,235432,2025-05-16,AAXJB, 8.75,5
63682,6:45p,499364730,239664,2025-05-16,AAXJB,10.75,5
63683,2:45p,499364722,237177,2025-05-16,AAXJB, 8.75,10
63684,5:30p,499364721,237177,2025-05-16,AAXJB, 8.75,10
63685,7:00p,499364723,237177,2025-05-16,AAXJB,10.75,1
63686,9:30p,499364724,237177,2025-05-16,AAXJB,10.75,1
63687,2:00p,499364731,238334,2025-05-16,AAXJB, 8.75,1
63688,2:00p,499364715,237956,2025-05-16,AAXJB, 8.75,7
63689,4:45p,499364716,237956,2025-05-16,AAXJB, 8.75,7
63690,7:30p,499364725,237956,2025-05-16,AAXJB,10.75,7
63691,8:30p,499364726,237956,2025-05-16,AAXJB,10.75,2
63692,5:00p,499364727,239989,2025-05-16,AAXJB, 8.75,2
63693,11:30a,498105690,239402,2025-05-16,AATXR,11.00,4
63694,1:20p,498105695,239402,2025-05-16,AATXR,11.00,5
63695,2:20p,498105691,239402,2025-05-16,AATXR,11.00,4
63696,4:10p,498105696,239402,2025-05-16,AATXR,14.18,5
63697,5:10p,498105692,239402,2025-05-16,AATXR,14.18,4
63698,7:00p,498105697,239402,2025-05-16,AATXR,14.18,5
63699,8:00p,498105693,239402,2025-05-16,AATXR,14.18,4
63700,1:40p,499083689,239402,2025-05-16,AAWPZ, 5.40,1
63701,4:30p,499083690,239402,2025-05-16,AAWPZ, 5.40,1
63702,7:20p,499083691,239402,2025-05-16,AAWPZ, 7.83,1
63703,10:10p,499083692,239402,2025-05-16,AAWPZ, 7.83,1
63704,11:45a,499298529,239402,2025-05-16,AAWHI,26.00,14
63705,2:20p,499298560,239402,2025-05-16,AAWHI,26.00,14
63706,4:55p,499298530,239402,2025-05-16,AAWHI,26.00,14
63707,7:30p,499298531,239402,2025-05-16,AAWHI,26.00,14
63708,10:05p,499298532,239402,2025-05-16,AAWHI,26.00,14
63709,12:35p,499298527,239402,2025-05-16,AAWHI,11.00,5
63710,1:25p,499298528,239402,2025-05-16,AAWHI,11.00,6
63711,3:10p,499298533,239402,2025-05-16,AAWHI,11.00,5
63712,4:00p,499298536,239402,2025-05-16,AAWHI,11.00,6
63713,5:45p,499298534,239402,2025-05-16,AAWHI,14.00,5
63714,6:35p,499298537,239402,2025-05-16,AAWHI,14.00,6
63715,8:20p,499298535,239402,2025-05-16,AAWHI,14.00,5
63716,9:10p,499298538,239402,2025-05-16,AAWHI,14.00,6
63717,11:40a,499298539,240028,2025-05-16,AAWHI,11.00,3
63718,2:10p,499298540,240028,2025-05-16,AAWHI,11.00,3
63719,4:40p,499298541,240028,2025-05-16,AAWHI,11.00,3
63720,7:15p,499298542,240028,2025-05-16,AAWHI,14.00,3
63721,9:45p,499298543,240028,2025-05-16,AAWHI,14.00,3
63722,11:55a,499298526,239964,2025-05-16,AAWHI,11.00,2
63723,2:20p,499298525,239964,2025-05-16,AAWHI,11.00,2
63724,4:45p,499298524,239964,2025-05-16,AAWHI,11.00,2
63725,7:10p,499298523,239964,2025-05-16,AAWHI,14.00,2
63726,9:35p,499298522,239964,2025-05-16,AAWHI,14.00,2
63727,12:10p,499298518,237177,2025-05-16,AAWHI,11.00,1
63728,3:05p,499298521,237177,2025-05-16,AAWHI,11.00,1
63729,5:55p,499298520,237177,2025-05-16,AAWHI,14.00,1
63730,8:45p,499298519,237177,2025-05-16,AAWHI,14.00,1
63731,1:20p,499298547,237177,2025-05-16,AAWHI,11.00,13
63732,4:15p,499298548,237177,2025-05-16,AAWHI,11.00,13
63733,7:05p,499298549,237177,2025-05-16,AAWHI,14.00,13
63734,9:55p,499298550,237177,2025-05-16,AAWHI,14.00,13
63735,12:30p,499298551,239552,2025-05-16,AAWHI,11.00,10
63736,3:30p,499298552,239552,2025-05-16,AAWHI,11.00,10
63737,6:30p,499298553,239552,2025-05-16,AAWHI,14.00,10
63738,9:30p,499298554,239552,2025-05-16,AAWHI,14.00,10
63739,7:25p,499298555,239214,2025-05-16,AAWHI,14.00,9
63740,9:55p,499298556,239214,2025-05-16,AAWHI,14.00,9
63741,11:50a,499298514,237956,2025-05-16,AAWHI,11.00,4
63742,1:50p,499298515,237956,2025-05-16,AAWHI,11.00,7
63743,2:50p,499298513,237956,2025-05-16,AAWHI,11.00,4
63744,4:50p,499298516,237956,2025-05-16,AAWHI,11.00,7
63745,5:50p,499298512,237956,2025-05-16,AAWHI,14.00,4
63746,7:50p,499298517,237956,2025-05-16,AAWHI,14.00,7
63747,8:50p,499298561,237956,2025-05-16,AAWHI,14.00,4
63748,12:50p,499298544,237956,2025-05-16,AAWHI,18.00,11
63749,3:50p,499298562,237956,2025-05-16,AAWHI,18.00,11
63750,6:50p,499298563,237956,2025-05-16,AAWHI,18.00,11
63751,9:50p,499298564,237956,2025-05-16,AAWHI,18.00,11
63752,12:00p,499298557,239393,2025-05-16,AAWHI,11.00,9
63753,2:30p,499298558,239393,2025-05-16,AAWHI,11.00,9
63754,5:00p,499298559,239393,2025-05-16,AAWHI,14.00,9
63755,12:20p,499298505,216995,2025-05-16,AAWHI,11.00,8
63756,1:30p,499298510,216995,2025-05-16,AAWHI,11.00,12
63757,2:45p,499298506,216995,2025-05-16,AAWHI,11.00,8
63758,3:55p,499298511,216995,2025-05-16,AAWHI,11.00,12
63759,5:10p,499298507,216995,2025-05-16,AAWHI,14.00,8
63760,7:35p,499298508,216995,2025-05-16,AAWHI,14.00,8
63761,10:00p,499298509,216995,2025-05-16,AAWHI,14.00,8
63762,6:20p,499298545,224268,2025-05-16,AAWHI,14.00,12
63763,9:05p,499298546,224268,2025-05-16,AAWHI,14.00,12
63764,11:00a,497924215,239402,2025-05-16,AAWEA, 7.50,1
63765,1:45p,497924214,239402,2025-05-16,AAWEA, 8.50,1
63766,4:30p,497924212,239402,2025-05-16,AAWEA, 8.50,1
63767,7:15p,497924213,239402,2025-05-16,AAWEA,10.00,1
63768,9:50p,497929190,239402,2025-05-16,AAWEA,10.00,1
63769,11:00a,499699098,240028,2025-05-16,AAWEA, 7.50,2
63770,1:30p,499699099,240028,2025-05-16,AAWEA, 8.50,2
63771,4:00p,499699100,240028,2025-05-16,AAWEA, 8.50,2
63772,10:00a,499699106,240014,2025-05-16,AAWEA, 6.50,5
63773,3:15p,499699108,240014,2025-05-16,AAWEA, 7.00,5
63774,8:30p,499699110,240014,2025-05-16,AAWEA, 9.00,5
63775,12:30p,499699107,236623,2025-05-16,AAWEA, 7.00,5
63776,5:35p,499699109,236623,2025-05-16,AAWEA, 7.00,5
63777,10:00a,499728087,237177,2025-05-16,AAWEA, 7.50,10
63778,1:00p,499728085,237177,2025-05-16,AAWEA, 8.50,10
63779,4:00p,499728081,237177,2025-05-16,AAWEA, 8.50,10
63780,7:00p,499728083,237177,2025-05-16,AAWEA,10.00,10
63781,10:00p,499728092,237177,2025-05-16,AAWEA,10.00,10
63782,12:00p,499728086,237177,2025-05-16,AAWEA, 7.00,8
63783,3:00p,499728084,237177,2025-05-16,AAWEA, 7.00,8
63784,6:00p,499728080,237177,2025-05-16,AAWEA, 9.00,8
63785,9:00p,499728082,237177,2025-05-16,AAWEA, 9.00,8
63786,10:00a,499699105,239552,2025-05-16,AAWEA, 6.50,3
63787,1:00p,499699101,239552,2025-05-16,AAWEA, 7.00,3
63788,4:00p,499699102,239552,2025-05-16,AAWEA, 7.00,3
63789,7:00p,499699103,239552,2025-05-16,AAWEA, 9.00,3
63790,10:00p,499699104,239552,2025-05-16,AAWEA, 9.00,3
63791,11:30a,499728091,237956,2025-05-16,AAWEA, 7.50,9
63792,2:30p,499728090,237956,2025-05-16,AAWEA, 8.00,9
63793,5:30p,499728089,237956,2025-05-16,AAWEA, 8.50,9
63794,8:30p,499728088,237956,2025-05-16,AAWEA,10.00,9
63795,11:00a,499699111,216995,2025-05-16,AAWEA, 6.50,6
63796,1:30p,499699112,216995,2025-05-16,AAWEA, 7.00,6
63797,4:00p,499699113,216995,2025-05-16,AAWEA, 7.00,6
63798,6:30p,499728078,216995,2025-05-16,AAWEA, 7.50,6
63799,12:30p,498257841,239402,2025-05-16,AAXDL,11.25,3
63800,1:30p,498072678,239402,2025-05-16,AAXDL,11.25,1
63801,4:30p,498072677,239402,2025-05-16,AAXDL,13.75,1
63802,7:30p,498072676,239402,2025-05-16,AAXDL,13.75,1
63803,12:45p,499335421,237177,2025-05-16,AAXDL,11.25,4
63804,4:00p,499335420,237177,2025-05-16,AAXDL,13.75,4
63805,7:15p,499335419,237177,2025-05-16,AAXDL,13.75,4
63806,3:30p,499335417,237956,2025-05-16,AAXDL,11.25,3
63807,7:00p,499335418,237956,2025-05-16,AAXDL,13.75,3
63808,1:00p,499335414,216995,2025-05-16,AAXDL,11.25,2
63809,3:45p,499335415,216995,2025-05-16,AAXDL,11.25,2
63810,6:30p,499335416,216995,2025-05-16,AAXDL,13.75,2
63811,2:45p,499296407,239402,2025-05-16,AANRQ, 6.96,4
63812,5:10p,499296408,239402,2025-05-16,AANRQ, 6.96,4
63813,8:00p,499296410,239402,2025-05-16,AANRQ, 9.10,4
